name,date_detected,common_name,pole_position
Z2A,2020-10-10T13:41:32Z,Woodland Caribou,F
Z2A,2020-10-10T13:42:11Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:30Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:42Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:29Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:26Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:28Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:25Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:19Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:56Z,Woodland Caribou,F
Z2A,2020-10-10T12:48:03Z,Woodland Caribou,F
Z2A,2020-10-10T12:48:04Z,Woodland Caribou,F
Z2A,2020-10-10T13:34:55Z,Woodland Caribou,F
Z2A,2020-10-10T13:34:53Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:00Z,Woodland Caribou,F
Z2A,2020-10-10T13:40:58Z,Woodland Caribou,F
Z2A,2020-10-10T13:40:56Z,Woodland Caribou,F
Z2A,2020-10-10T13:40:55Z,Woodland Caribou,F
Z2A,2020-10-10T13:40:47Z,Woodland Caribou,F
Z2A,2020-10-10T13:40:46Z,Woodland Caribou,F
Z2A,2020-10-10T13:40:44Z,Woodland Caribou,F
Z2A,2020-10-10T13:40:49Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:02Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:03Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:01Z,Woodland Caribou,F
Z2A,2020-10-10T13:40:50Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:15Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:18Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:14Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:17Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:13Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:11Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:09Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:08Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:06Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:10Z,Woodland Caribou,F
Z2A,2020-10-10T13:41:05Z,Woodland Caribou,F
Z2A,2020-10-11T07:58:49Z,Woodland Caribou,B
Z2A,2020-10-11T07:37:47Z,Woodland Caribou,B
Z2A,2020-10-11T07:37:48Z,Woodland Caribou,B
Z2A,2020-10-11T07:37:44Z,Woodland Caribou,B
Z2A,2020-10-11T13:51:16Z,Woodland Caribou,B
Z2A,2020-10-11T12:27:36Z,Woodland Caribou,B
Z2A,2020-10-11T12:26:21Z,Woodland Caribou,B
Z2A,2020-10-11T12:26:43Z,Woodland Caribou,B
Z2A,2020-10-11T12:40:17Z,Woodland Caribou,B
Z2A,2020-10-11T12:25:07Z,Woodland Caribou,B
Z2A,2020-10-11T12:25:04Z,Woodland Caribou,B
Z2A,2020-10-11T12:46:11Z,Woodland Caribou,B
Z2A,2020-10-11T12:43:32Z,Woodland Caribou,B
Z2A,2020-10-11T12:44:57Z,Woodland Caribou,B
Z2A,2020-10-11T12:40:18Z,Woodland Caribou,B
Z2A,2020-10-11T12:39:56Z,Woodland Caribou,B
Z2A,2020-10-11T08:09:50Z,Woodland Caribou,B
Z2A,2020-10-12T11:00:59Z,Woodland Caribou,B
Z2A,2020-10-12T11:26:20Z,Woodland Caribou,B
Z2A,2020-10-12T11:20:19Z,Woodland Caribou,B
Z2A,2020-10-12T11:26:12Z,Woodland Caribou,B
Z2A,2020-10-12T11:27:34Z,Woodland Caribou,B
Z2A,2020-10-12T11:26:17Z,Woodland Caribou,B
Z2A,2020-10-12T11:27:32Z,Woodland Caribou,B
Z2A,2020-10-12T11:27:39Z,Woodland Caribou,B
Z2A,2020-10-12T11:28:03Z,Woodland Caribou,B
Z2A,2020-10-12T11:26:14Z,Woodland Caribou,B
Z2A,2020-10-12T11:27:38Z,Woodland Caribou,B
Z2A,2020-10-12T11:27:36Z,Woodland Caribou,B
Z2A,2020-10-10T12:46:48Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:46Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:45Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:40Z,Woodland Caribou,F
Z2A,2020-10-10T12:46:42Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:08Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:27Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:30Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:28Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:16Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:12Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:44Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:36Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:43Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:33Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:34Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:32Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:25Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:24Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:18Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:23Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:21Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:17Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:48Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:55Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:50Z,Woodland Caribou,F
Z2A,2020-10-10T12:47:52Z,Woodland Caribou,F
Z2A,2020-10-12T11:31:03Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:51Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:57Z,Woodland Caribou,F
Z2A,2020-10-12T11:30:58Z,Woodland Caribou,F
Z2A,2020-10-12T11:31:01Z,Woodland Caribou,F
Z2A,2020-10-11T07:59:43Z,Woodland Caribou,F
Z2A,2020-10-11T07:59:41Z,Woodland Caribou,F
Z2A,2020-10-11T07:59:45Z,Woodland Caribou,F
Z2A,2020-10-11T07:59:42Z,Woodland Caribou,F
Z2A,2020-10-11T07:58:48Z,Woodland Caribou,F
Z2A,2020-10-11T07:58:43Z,Woodland Caribou,F
Z2A,2020-10-11T07:58:45Z,Woodland Caribou,F
Z2A,2020-10-11T07:58:46Z,Woodland Caribou,F
Z2A,2020-10-11T07:58:41Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:25Z,Woodland Caribou,F
Z2A,2020-10-11T08:07:57Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:15Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:13Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:12Z,Woodland Caribou,F
Z2A,2020-10-11T08:08:47Z,Woodland Caribou,F
Z2A,2020-10-11T08:08:42Z,Woodland Caribou,F
Z2A,2020-10-11T08:08:41Z,Woodland Caribou,F
Z2A,2020-10-11T08:08:44Z,Woodland Caribou,F
Z2A,2020-10-11T08:08:39Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:41Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:40Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:33Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:38Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:31Z,Woodland Caribou,F
Z2A,2020-10-11T08:09:47Z,Woodland Caribou,F
Z2A,2020-10-12T10:50:51Z,Woodland Caribou,F
Z2A,2020-10-12T10:50:49Z,Woodland Caribou,F
Z2A,2020-10-12T10:50:53Z,Woodland Caribou,F
Z2A,2020-10-12T02:44:57Z,Woodland Caribou,F
Z2A,2020-10-12T02:44:20Z,Woodland Caribou,F
Z2A,2020-10-12T02:43:50Z,Woodland Caribou,F
Z2A,2020-10-12T02:44:59Z,Woodland Caribou,F
